P,T,fG,NCeq,cH,cC,cG,cN
160000.0,325.0344827586207,0.0023210526315789,45279.97782802717,8.3884953900306e-06,0.0213191571372644,0.0001247690703071,4.463149422685032e-05
160000.0,325.0344827586207,0.0046421052631578,42651.219936889,8.343926090502068e-06,0.021462580407276,0.0001229368975546,4.50420756967125e-05
160000.0,325.0344827586207,0.0069631578947368,40023.95691441569,8.29919793310574e-06,0.02160600408058,0.0001211044789165,4.545265720839354e-05
160000.0,325.0344827586207,0.0092842105263157,37396.69374828687,8.254349169820694e-06,0.0217494281683096,0.0001192717947024,4.586323876261028e-05
160000.0,325.0344827586207,0.0116052631578947,34771.62542147864,8.209359953610315e-06,0.021892852609302,0.0001174388862592,4.627382035523547e-05
160000.0,325.0344827586207,0.0139263157894736,32144.869358845543,8.164180772122538e-06,0.0220362773175621,0.0001156058180669,4.668440198186877e-05
160000.0,325.0344827586207,0.0162473684210526,29515.43725547539,8.118834948558764e-06,0.0221797022236231,0.0001137726395873,4.709498363743488e-05
160000.0,325.0344827586207,0.0185684210526315,26891.12011142361,8.073327195408497e-06,0.0223231272571528,0.0001119394034936,4.750556531553304e-05
160000.0,325.0344827586207,0.0208894736842105,24264.099442798662,8.027572784717468e-06,0.0224665523452534,0.0001101061833902,4.7916147013236125e-05
160000.0,325.0344827586207,0.0232105263157894,21635.73011982293,7.981725770452948e-06,0.0226099774705592,0.00010827299076,4.8326728726707807e-05
160000.0,325.0344827586207,0.0255315789473684,19007.15653579712,7.935556391680192e-06,0.0227534024905424,0.0001064399325556,4.873731045242466e-05
160000.0,325.0344827586207,0.0278526315789473,16380.487856058156,7.889208847025133e-06,0.0228968273483302,0.0001046070183437,4.914789218767211e-05
160000.0,327.0,0.0,36658.14308497252,1.2228728118545815e-05,0.0206140109638247,0.0001239041748753,4.4221005860041655e-05
160000.0,327.0,0.0023210526315789,34608.265159185816,1.2163468973175347e-05,0.0207537905838867,0.0001220875720716,4.463158260622941e-05
160000.0,327.0,0.0046421052631578,32557.485705821786,1.209804618740903e-05,0.0208935702994864,0.0001202709808327,4.5042159367846034e-05
160000.0,327.0,0.0069631578947368,30508.28643731238,1.2032415749895823e-05,0.0210333502646287,0.0001184542696217,4.545273615088477e-05
160000.0,327.0,0.0092842105263157,28460.5674272776,1.196659297504096e-05,0.0211731305332993,0.0001166373894729,4.5863312957107696e-05
160000.0,327.0,0.0116052631578947,26410.650031838297,1.1900541262900668e-05,0.0213129110772886,0.0001148203594116,4.627388978646999e-05
160000.0,327.0,0.0139263157894736,24360.052487801386,1.1834238200069562e-05,0.021452691840273,0.0001130032212827,4.668446663684661e-05
160000.0,327.0,0.0162473684210526,22310.393282585108,1.1767664076746708e-05,0.0215924727535402,0.0001111860281496,4.709504350569406e-05
160000.0,327.0,0.0185684210526315,20261.130143724386,1.170082212063857e-05,0.0217322537498496,0.0001093688322497,4.750562039085617e-05
160000.0,327.0,0.0208894736842105,18211.70957846189,1.1633687250307646e-05,0.0218720347696824,0.0001075516954883,4.791619729037048e-05
160000.0,327.0,0.0232105263157894,16164.036461646096,1.1566175103675662e-05,0.0220118157316765,0.000105734694861,4.832677420202612e-05
160000.0,327.0,0.0255315789473684,14115.370646712036,1.1498501553682305e-05,0.0221515965991358,0.0001039178333434,4.8737351124933726e-05
160000.0,327.0,0.0278526315789473,12062.033144248462,1.1430311229457473e-05,0.0222913771853778,0.0001021012532784,4.914792805839101e-05
170000.0,270.0,0.0,54351873.209266506,1.419126654853186e-07,0.0920026752696809,0.0001378602931367,4.653388105380102e-05
170000.0,270.0,0.0023210526315789,51499815.639039405,1.4152638468366886e-07,0.0926021961663444,0.0001360253347439,4.699363904906121e-05
170000.0,270.0,0.0046421052631578,48646593.21583907,1.411395827291853e-07,0.0932017003080344,0.0001341943258284,4.745345848774793e-05
170000.0,270.0,0.0069631578947368,45792397.46862255,1.407517046252004e-07,0.0938012022516424,0.000132363875531,4.791329175129313e-05
170000.0,270.0,0.0092842105263157,42937232.70644231,1.4036263116832377e-07,0.0944007031439325,0.00013053371871,4.837313536497938e-05
170000.0,270.0,0.0116052631578947,40081093.09815901,1.3997226497054894e-07,0.0950002033886576,0.0001287037625914,4.88329881745443e-05
170000.0,270.0,0.0139263157894736,37223969.52262956,1.3958051307874864e-07,0.0955997031759229,0.0001268739631496,4.929284966705424e-05
170000.0,270.0,0.0162473684210526,34365851.15709253,1.3918728278945618e-07,0.0961992026138787,0.0001250442961052,4.975271958557987e-05
170000.0,270.0,0.0185684210526315,31506726.005443268,1.3879248010063234e-07,0.0967987017654267,0.00012321474691,5.021259779268882e-05
170000.0,270.0,0.0208894736842105,28646560.659471154,1.383960079852874e-07,0.0973982007126543,0.0001213853088997,5.0672484347822665e-05
170000.0,270.0,0.0232105263157894,25785359.751612235,1.3799776848447457e-07,0.0979976994410245,0.0001195559741185,5.113237909152038e-05
170000.0,270.0,0.0255315789473684,22923110.504845317,1.3759766016443924e-07,0.0985971979598085,0.0001177267393365,5.15922819873684e-05
170000.0,270.0,0.0278526315789473,20059805.408896856,1.371955785492078e-07,0.0991966962565828,0.0001158975993638,5.205219296238811e-05
170000.0,270.0,0.0301736842105263,17195432.171734877,1.3679141601282802e-07,0.0997961943146013,0.0001140685524603,5.25121119546611e-05
170000.0,270.0,0.0324947368421052,14329962.863050824,1.3638506142455517e-07,0.1003956921370845,0.0001122396051943,5.297203897023081e-05
170000.0,270.0,0.0348157894736842,11463376.965141663,1.359764008596803e-07,0.1009951896950866,0.0001104107642848,5.343197390114956e-05
170000.0,270.0,0.0371368421052631,8595654.62589479,1.35565318602076e-07,0.1015946869262486,0.000108582038652,5.389191650883808e-05
170000.0,270.0,0.0394578947368421,5726775.023501668,1.3515170474834138e-07,0.1021941837122422,0.0001067534542623,5.435186629549856e-05
170000.0,270.0,0.041778947368421,2856715.3484934503,1.347354937519271e-07,0.1027936797780041,0.0001049250531755,5.481182205029146e-05
170000.0,270.0,0.0441,8.434280339053778e-22,8.105393027077248e-08,0.1033931288539281,0.0001031349909631,5.527165417923428e-05
170000.0,271.9655172413793,0.0,44075182.60135392,9.493519000316529e-08,0.0852918144571032,0.0001384489915163,4.661891787131229e-05
170000.0,271.9655172413793,0.0023210526315789,41764983.882085696,9.47043721600952e-08,0.0858481523423439,0.000136586982726,4.707420352733586e-05
170000.0,271.9655172413793,0.0046421052631578,39453698.12350556,9.44729847583246e-08,0.0864044826213675,0.0001347270444631,4.752953826249651e-05
170000.0,271.9655172413793,0.0069631578947368,37141403.77398919,9.424083331360109e-08,0.0869608118739947,0.0001328674314781,4.798488607218407e-05
170000.0,271.9655172413793,0.0092842105263157,34828096.4483844,9.400785476357916e-08,0.0875171406437343,0.0001310080012898,4.844024421145647e-05
170000.0,271.9655172413793,0.0116052631578947,32513767.02574333,9.377399223147689e-08,0.0880734691227678,0.0001291487040467,4.889561177816999e-05
170000.0,271.9655172413793,0.0139263157894736,30198404.600098778,9.35391894552199e-08,0.0886297974029445,0.000127289516154,4.935098838422393e-05
170000.0,271.9655172413793,0.0162473684210526,27881997.153789848,9.330338940171115e-08,0.0891861255356813,0.0001254304246555,4.980637384677323e-05
170000.0,271.9655172413793,0.0185684210526315,25564531.76927166,9.306653371667826e-08,0.0897424535520565,0.0001235714218338,5.026176808162088e-05
170000.0,271.9655172413793,0.0208894736842105,23245978.112188485,9.282856196445196e-08,0.0902987815128905,0.0001217125051473,5.071717116501758e-05
170000.0,271.9655172413793,0.0232105263157894,20926336.620277435,9.258941261606737e-08,0.0908551093930682,0.0001198536694406,5.117258299834061e-05
170000.0,271.9655172413793,0.0255315789473684,18605593.473767377,9.234902184522813e-08,0.091411437195303,0.0001179949129945,5.162800358450566e-05
170000.0,271.9655172413793,0.0278526315789473,16283738.990208762,9.210732363726681e-08,0.0919677649052836,0.0001161362312174,5.20834328993446e-05
170000.0,271.9655172413793,0.0301736842105263,13960759.44531096,9.186424977427072e-08,0.0925240925123846,0.0001142776220201,5.253887093261304e-05
170000.0,271.9655172413793,0.0324947368421052,11636628.27458939,9.16197296770831e-08,0.0930804200299592,0.0001124190904193,5.2994317733016805e-05
170000.0,271.9655172413793,0.0348157894736842,9311324.776231114,9.137369057329085e-08,0.0936367474482271,0.0001105606401336,5.344977326388465e-05
170000.0,271.9655172413793,0.0371368421052631,6984828.678553116,9.11260579163475e-08,0.0941930747386712,0.000108702274555,5.390523739310906e-05
170000.0,271.9655172413793,0.0394578947368421,4657118.9346985575,9.087675928197293e-08,0.0947494018496876,0.0001068440089573,5.436070980072053e-05
170000.0,271.9655172413793,0.041778947368421,2328173.349208636,9.062574395126909e-08,0.0953057286566608,0.0001049858612644,5.481618964042832e-05
170000.0,271.9655172413793,0.0441,1.9532260822474012e-10,8.105392539760184e-08,0.0958620452004169,0.0001031349909979,5.527165417923622e-05
170000.0,273.9310344827586,0.0,35635089.89725091,7.200238196609288e-08,0.0792369572760972,0.0001389176589939,4.668877490212158e-05
170000.0,273.9310344827586,0.0023210526315789,33768996.540570505,7.183852379725195e-08,0.0797543392713852,0.0001370329087759,4.714039489646147e-05
170000.0,273.9310344827586,0.0046421052631578,31901896.73491312,7.167416001278872e-08,0.0802717176545403,0.0001351493312977,4.7592053406190346e-05
170000.0,273.9310344827586,0.0069631578947368,30033823.128555384,7.150919794246121e-08,0.0807890955386544,0.0001332659628122,4.80437237279457e-05
170000.0,273.9310344827586,0.0092842105263157,28164768.201309618,7.134359522947702e-08,0.0813064731953156,0.0001313827207734,4.8495403733201184e-05
170000.0,273.9310344827586,0.0116052631578947,26294721.96610042,7.117731153094064e-08,0.0818238507211004,0.000129499576332,4.8947092730503815e-05
170000.0,273.9310344827586,0.0139263157894736,24423673.30248074,7.101030621406325e-08,0.0823412281625547,0.0001276165159091,4.939879043224485e-05
170000.0,273.9310344827586,0.0162473684210526,22551610.25014166,7.08425377535926e-08,0.0828586055456803,0.0001257335321222,4.985049671304021e-05
170000.0,273.9310344827586,0.0185684210526315,20678520.08981668,7.067396346807755e-08,0.0833759828864051,0.0001238506206411,5.03022115264829e-05
170000.0,273.9310344827586,0.0208894736842105,18804375.94008884,7.050453910262716e-08,0.0838933602358777,0.0001219677809506,5.075393495615324e-05
170000.0,273.9310344827586,0.0232105263157894,16929175.716762077,7.033421935279585e-08,0.0844107375637591,0.0001200850093945,5.120566694517393e-05
170000.0,273.9310344827586,0.0255315789473684,15052905.686083844,7.016295719172659e-08,0.0849281148686168,0.0001182023051076,5.165740751927289e-05
170000.0,273.9310344827586,0.0278526315789473,13175555.34131786,6.999070385415455e-08,0.085445492136565,0.000116319663965,5.210915668507525e-05
170000.0,273.9310344827586,0.0301736842105263,11297110.769953024,6.98174088569153e-08,0.0859628693575605,0.000114437083928,5.25609144614902e-05
170000.0,273.9310344827586,0.0324947368421052,9417547.53435459,6.964301992401584e-08,0.0864802465497227,0.0001125545695354,5.301268091862543e-05
170000.0,273.9310344827586,0.0348157894736842,7536845.795932576,6.946748296083698e-08,0.086997623708875,0.0001106721234965,5.346445605973249e-05
170000.0,273.9310344827586,0.0371368421052631,5654985.928348376,6.929074225639429e-08,0.0875150008246115,0.0001087897472582,5.39162398199308e-05
170000.0,273.9310344827586,0.0394578947368421,3771947.575700069,6.911274285249895e-08,0.0880323778657847,0.0001069074522081,5.4368031987549184e-05
170000.0,273.9310344827586,0.041778947368421,1887709.4969536727,6.893344196427935e-08,0.088549754771815,0.0001050252472165,5.481983195750268e-05
170000.0,273.9310344827586,0.0441,1444.996972092463,7.79034929064645e-08,0.0890671378721044,0.0001031360160837,5.527165169951974e-05
